DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2013,34.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2014,35.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2015,37.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2016,37.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2017,37.6,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2018,36.9,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2019,35.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LT,2020,35.1,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2011,27.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2012,28.0,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2013,30.4,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2014,28.7,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2015,28.5,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2016,29.6,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2017,29.2,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2018,31.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2019,32.3,
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LU,2020,31.2,b
ESTAT:ILC_DI12(1.0),13/05/22 23:00:00,A,GINI_HND,LV,2011,35.1,
